Construction	Design, Surveying and Planning	2020	2022	In development	Pearson	Unverified	t01
Education & Childcare	Education	2020	2022	In development	NCFE	Unverified	t02
Digital	Digital Production, Design and Development	2020	2022	In development	Pearson	Unverified	t03
Construction	Onsite Construction	2021	2023	In development	City and Guilds	Unverified	t04
Construction	Building Services Engineering	2021	2023	In development	City and Guilds	Unverified	t05
Digital	Digital Support & Services	2021	2023	In development	NCFE	Unverified	t06
Digital	Digital Business Services	2021	2023	In development	NCFE	Unverified	t07
Health & Science	Health	2021	2023	In development	NCFE	Unverified	t08
Health & Science	Healthcare Science	2021	2023	In development	NCFE	Unverified	t09
Health & Science	Science	2021	2023	In development	NCFE	Unverified	t10
Legal, Finance and Accounting	Financial	2022	2024	Consultation closed	Not decided	Unverified	t11
Legal, Finance and Accounting	Legal	2022	2024	Consultation closed	Not decided	Unverified	t12
Legal, Finance and Accounting	Accountancy	2022	2024	Consultation closed	Not decided	Unverified	t13